,Major,Degree_type,Early Career Pay,Mid Career Pay,% High Meaning,Field Type
702,Theatre Arts,Bachelors,43500.0,65300.0,0.51,OTHER FIELDS
703,Applied Linguistics,Bachelors,46800.0,65200.0,0.44,OTHER FIELDS
704,African American & African Studies,Bachelors,46400.0,65100.0,0.6,OTHER FIELDS
705,Exercise & Sports Science,Bachelors,42600.0,65100.0,0.7,OTHER FIELDS
706,General Studies,Bachelors,43600.0,65100.0,0.52,OTHER FIELDS
707,Justice Studies,Bachelors,45300.0,65100.0,0.5,OTHER FIELDS
708,Video Production,Bachelors,42800.0,65100.0,0.33,OTHER FIELDS
709,Graphic Arts,Bachelors,42700.0,64900.0,0.41,OTHER FIELDS
710,Physical Education Teaching,Bachelors,42200.0,64900.0,0.69,OTHER FIELDS
711,Health Services Management,Bachelors,41600.0,64800.0,0.83,OTHER FIELDS
712,Physical Education & Exercise Science,Bachelors,44100.0,64800.0,0.72,OTHER FIELDS
713,Drawing,Bachelors,37400.0,64800.0,0.39,OTHER FIELDS
714,Exercise Science,Bachelors,41400.0,64700.0,0.73,OTHER FIELDS
715,Printmaking,Bachelors,38400.0,64300.0,0.4,OTHER FIELDS
716,Sports Administration,Bachelors,43300.0,64300.0,0.47,OTHER FIELDS
717,Theology,Bachelors,42800.0,64300.0,0.68,OTHER FIELDS
718,Interior Design & Merchandising,Bachelors,43700.0,64200.0,0.37,OTHER FIELDS
719,Recreation & Leisure Studies,Bachelors,40300.0,64200.0,0.6,OTHER FIELDS
720,Human Development,Bachelors,43700.0,64100.0,0.64,OTHER FIELDS
721,Music Industry,Bachelors,45800.0,64100.0,0.38,OTHER FIELDS
722,Wildlife Management,Bachelors,39700.0,64100.0,0.49,OTHER FIELDS
723,Supervision & Management,Bachelors,41700.0,64100.0,0.57,OTHER FIELDS
724,Health & Wellness,Bachelors,40100.0,64000.0,0.7,OTHER FIELDS
725,Culinary Arts & Food Service Management,Bachelors,41300.0,64000.0,0.5,OTHER FIELDS
726,Mortuary Science,Bachelors,43500.0,64000.0,0.85,OTHER FIELDS
727,Clinical Psychology,Bachelors,43000.0,63900.0,0.65,OTHER FIELDS
728,Community Health Education,Bachelors,42600.0,63900.0,0.75,OTHER FIELDS
729,Dance,Bachelors,45100.0,63900.0,0.62,OTHER FIELDS
730,Speech Pathology,Bachelors,42800.0,63700.0,0.69,OTHER FIELDS
731,Gender Studies,Bachelors,45500.0,63600.0,0.55,OTHER FIELDS
732,Secondary English Teacher Education,Bachelors,42000.0,63600.0,0.64,OTHER FIELDS
733,Photography,Bachelors,43800.0,63500.0,0.38,OTHER FIELDS
734,English Teacher Education,Bachelors,43300.0,63100.0,0.57,OTHER FIELDS
735,Paralegal Studies,Bachelors,39600.0,63100.0,0.5,OTHER FIELDS
736,Social Studies Teacher Education,Bachelors,43400.0,63100.0,0.65,OTHER FIELDS
737,Teaching English as a Second Language (ESL),Bachelors,42800.0,63000.0,0.73,OTHER FIELDS
738,Music Teacher Education,Bachelors,42000.0,63000.0,0.62,OTHER FIELDS
739,Health Promotion,Bachelors,42300.0,62800.0,0.69,OTHER FIELDS
740,Recording Arts,Bachelors,44800.0,62800.0,0.48,OTHER FIELDS
741,Photojournalism,Bachelors,41900.0,62600.0,0.59,OTHER FIELDS
742,Recreation Administration,Bachelors,47000.0,62500.0,0.71,OTHER FIELDS
743,Radio Broadcasting,Bachelors,46300.0,62400.0,0.33,OTHER FIELDS
744,Sculpture,Bachelors,40300.0,62200.0,0.47,OTHER FIELDS
745,Painting,Bachelors,40700.0,62000.0,0.44,OTHER FIELDS
746,Psychology & Social Sciences,Bachelors,42600.0,62000.0,0.68,SSH
747,Health & Physical Education Teaching,Bachelors,38700.0,61900.0,0.65,OTHER FIELDS
748,Organizational Administration,Bachelors,45000.0,61800.0,0.0,OTHER FIELDS
749,Tourism Management,Bachelors,43100.0,61600.0,0.38,OTHER FIELDS
750,Instrumental Music Teacher Education,Bachelors,41700.0,61600.0,0.65,OTHER FIELDS
751,Emergency Medical Services (EMS),Bachelors,44200.0,61400.0,0.0,OTHER FIELDS
752,Community Health,Bachelors,45400.0,61300.0,0.72,OTHER FIELDS
753,Health & Human Performance,Bachelors,38100.0,61100.0,0.68,OTHER FIELDS
754,Music Therapy,Bachelors,43100.0,60700.0,0.93,OTHER FIELDS
755,Social Services,Bachelors,39900.0,60500.0,0.82,OTHER FIELDS
756,Rehabilitation Services,Bachelors,35800.0,60200.0,0.79,OTHER FIELDS
757,Horticulture,Bachelors,43000.0,60100.0,0.59,OTHER FIELDS
758,University Studies,Bachelors,42400.0,60000.0,0.49,OTHER FIELDS
759,Church Ministries,Bachelors,40000.0,59900.0,0.79,OTHER FIELDS
760,Communicative Disorders,Bachelors,47400.0,59800.0,0.73,OTHER FIELDS
761,Social Science Teacher Education,Bachelors,45400.0,59800.0,0.0,OTHER FIELDS
762,Wildlife Biology,Bachelors,42900.0,59800.0,0.6,OTHER FIELDS
763,Community Development,Bachelors,44600.0,59400.0,0.63,OTHER FIELDS
764,Psychology & Human Services,Bachelors,35600.0,59400.0,0.0,OTHER FIELDS
765,Athletic Training,Bachelors,42100.0,59300.0,0.75,OTHER FIELDS
766,Biblical Studies,Bachelors,40500.0,59000.0,0.72,OTHER FIELDS
767,Biblical Studies & Practical Ministries,Bachelors,36400.0,58900.0,0.76,OTHER FIELDS
768,Counseling Psychology,Bachelors,42700.0,58900.0,0.64,OTHER FIELDS
769,Recreational Studies,Bachelors,42100.0,58900.0,0.69,OTHER FIELDS
770,Teaching,Bachelors,42000.0,58900.0,0.72,OTHER FIELDS
771,Home Economics,Bachelors,41800.0,58700.0,0.69,OTHER FIELDS
772,Library & Information Science,Bachelors,48200.0,58700.0,0.48,OTHER FIELDS
773,Human Development & Family Studies,Bachelors,40300.0,58600.0,0.66,OTHER FIELDS
774,Tourism & Travel,Bachelors,42200.0,58600.0,0.43,OTHER FIELDS
775,Landscape Design,Bachelors,49000.0,58500.0,0.63,OTHER FIELDS
776,Ceramics,Bachelors,42200.0,58300.0,0.51,OTHER FIELDS
777,Clinical Social Work (CSW),Bachelors,43500.0,58300.0,0.0,OTHER FIELDS
778,Parks & Recreation Management,Bachelors,42700.0,58300.0,0.56,OTHER FIELDS
779,Pastoral Ministry,Bachelors,38700.0,58000.0,0.83,OTHER FIELDS
780,Vocal Performance,Bachelors,42600.0,58000.0,0.65,OTHER FIELDS
781,Art Teacher Education,Bachelors,40300.0,57500.0,0.62,OTHER FIELDS
782,Bible Studies & Theology,Bachelors,40000.0,57500.0,0.67,OTHER FIELDS
783,Forensic Accounting,Bachelors,48300.0,57200.0,0.48,BUSINESS
784,Communication Sciences & Disorders,Bachelors,43300.0,57100.0,0.76,OTHER FIELDS
785,Legal Assistant Studies,Bachelors,38100.0,57100.0,0.38,OTHER FIELDS
786,Special Education,Bachelors,41300.0,57000.0,0.76,OTHER FIELDS
787,Conservation Biology,Bachelors,42800.0,56900.0,0.57,OTHER FIELDS
788,Family Studies,Bachelors,39200.0,56800.0,0.68,OTHER FIELDS
789,Christian Ministry,Bachelors,38100.0,56400.0,0.79,OTHER FIELDS
790,Speech & Hearing,Bachelors,43300.0,56400.0,0.76,OTHER FIELDS
791,Health and Human Services,Bachelors,43500.0,56300.0,0.65,OTHER FIELDS
792,Musical Theatre,Bachelors,43500.0,56100.0,0.5,OTHER FIELDS
793,History Teacher Education,Bachelors,47700.0,55600.0,0.46,OTHER FIELDS
794,Developmental Psychology,Bachelors,38200.0,55000.0,0.0,OTHER FIELDS
795,Therapeutic Recreation,Bachelors,39500.0,54900.0,0.82,OTHER FIELDS
796,Applied Behavioral Science,Bachelors,40500.0,54600.0,0.5,OTHER FIELDS
797,Community & Human Services,Bachelors,42400.0,54600.0,0.8,OTHER FIELDS
798,Social Work (SW),Bachelors,38600.0,54600.0,0.76,OTHER FIELDS
799,Office Administration,Bachelors,38700.0,54500.0,0.65,OTHER FIELDS
800,Ministry,Bachelors,36700.0,54300.0,0.81,OTHER FIELDS
801,Family & Community Services,Bachelors,42200.0,54300.0,0.74,OTHER FIELDS
802,Youth Ministry,Bachelors,37400.0,54200.0,0.76,OTHER FIELDS
803,Elementary Education,Bachelors,40000.0,53800.0,0.69,OTHER FIELDS
804,Voice & Opera,Bachelors,34500.0,53300.0,0.57,OTHER FIELDS
805,Christian Education,Bachelors,38700.0,53200.0,0.82,OTHER FIELDS
806,Conflict Resolution,Bachelors,44400.0,53200.0,0.5,OTHER FIELDS
807,Baking & Pastry Arts,Bachelors,37500.0,53000.0,0.44,OTHER FIELDS
808,Human Services Management,Bachelors,45600.0,53000.0,0.0,OTHER FIELDS
809,Hospitality & The Culinary Arts,Bachelors,38800.0,52900.0,0.0,OTHER FIELDS
810,Human Services (HS),Bachelors,38700.0,52500.0,0.71,OTHER FIELDS
811,Counseling,Bachelors,39900.0,51700.0,0.78,OTHER FIELDS
812,Recreational Therapy,Bachelors,38400.0,51600.0,0.84,OTHER FIELDS
813,Child Development,Bachelors,37400.0,51400.0,0.73,OTHER FIELDS
814,Educational Psychology,Bachelors,36900.0,51200.0,0.0,OTHER FIELDS
815,Middle School Education,Bachelors,41200.0,50800.0,0.73,OTHER FIELDS
816,Mental Health Counseling,Bachelors,36100.0,50000.0,0.78,OTHER FIELDS
817,Early Childhood & Elementary Education,Bachelors,38000.0,48400.0,0.77,OTHER FIELDS
818,Equine Studies,Bachelors,35700.0,47100.0,0.5,OTHER FIELDS
819,Addiction Studies,Bachelors,38000.0,47000.0,0.84,OTHER FIELDS
820,Child & Family Studies,Bachelors,36400.0,46500.0,0.73,OTHER FIELDS
821,Rehabilitation Counseling,Bachelors,39200.0,46400.0,0.0,OTHER FIELDS
822,Outdoor Education,Bachelors,37400.0,46300.0,0.52,OTHER FIELDS
823,Early Childhood Education,Bachelors,36100.0,45400.0,0.78,OTHER FIELDS
824,Mental Health,Bachelors,36900.0,45000.0,0.0,OTHER FIELDS
825,Medical Assisting,Bachelors,36000.0,44800.0,0.0,OTHER FIELDS
826,Metalsmithing,Bachelors,40000.0,40300.0,0.33,OTHER FIELDS
