,Major,Degree_type,Early Career Pay,Mid Career Pay,% High Meaning,Field Type
222,Information Technology (IT),Bachelors,59100.0,99200.0,0.46,OTHER FIELDS
223,Aviation Management,Bachelors,50900.0,99100.0,0.58,OTHER FIELDS
224,Occupational Health and Safety,Bachelors,59900.0,99100.0,0.69,OTHER FIELDS
225,Agribusiness,Bachelors,50700.0,98900.0,0.53,BUSINESS
226,Business & Marketing,Bachelors,51000.0,98900.0,0.45,BUSINESS
227,Computer Engineering Technology (CET),Bachelors,63000.0,98900.0,0.47,STEM
228,Computer Security,Bachelors,68100.0,98700.0,0.43,OTHER FIELDS
229,Operations & Supply Chain Management,Bachelors,61300.0,98600.0,0.45,OTHER FIELDS
230,Entomology,Bachelors,45900.0,98500.0,0.0,OTHER FIELDS
231,Music Production & Engineering,Bachelors,43100.0,98400.0,0.43,STEM
232,Industrial Engineering Technology,Bachelors,67200.0,98400.0,0.53,STEM
233,Logistics & Supply Chain Management,Bachelors,59000.0,98300.0,0.47,OTHER FIELDS
234,Supply Chain Management,Bachelors,61700.0,98300.0,0.41,OTHER FIELDS
235,Accounts,Bachelors,59800.0,98300.0,0.44,OTHER FIELDS
236,Economics & Management,Bachelors,54400.0,98200.0,0.0,OTHER FIELDS
237,Environmental Policy Analysis & Planning,Bachelors,51000.0,98200.0,0.65,OTHER FIELDS
238,Physical Therapy,Bachelors,55500.0,98200.0,0.88,OTHER FIELDS
239,European History,Bachelors,52300.0,98000.0,0.47,OTHER FIELDS
240,Robotics & Automation,Bachelors,66100.0,98000.0,0.63,OTHER FIELDS
241,Geological Engineering,Bachelors,61700.0,97900.0,0.54,STEM
242,Manufacturing Technology,Bachelors,59900.0,97900.0,0.46,OTHER FIELDS
243,Chemistry,Bachelors,51600.0,97500.0,0.55,OTHER FIELDS
244,Business Logistics & Transportation,Bachelors,56400.0,97400.0,0.44,BUSINESS
245,Food Science & Technology,Bachelors,53100.0,97300.0,0.49,OTHER FIELDS
246,City & Regional Planning,Bachelors,51800.0,97200.0,0.7,OTHER FIELDS
247,Civil Engineering Technology (CET),Bachelors,58300.0,97200.0,0.6,STEM
248,Electronics Engineering Technology (EET),Bachelors,64300.0,97100.0,0.5,STEM
249,English & Psychology,Bachelors,42600.0,97100.0,0.0,OTHER FIELDS
250,Finance & Banking,Bachelors,55300.0,97100.0,0.47,OTHER FIELDS
251,Mechanical Design,Bachelors,60900.0,97100.0,0.45,OTHER FIELDS
252,Applied Technology,Bachelors,55500.0,97000.0,0.62,OTHER FIELDS
253,Marketing & Management,Bachelors,50000.0,96900.0,0.45,OTHER FIELDS
254,Technical & Scientific Communication,Bachelors,50700.0,96800.0,0.37,OTHER FIELDS
255,Financial Planning,Bachelors,54000.0,96600.0,0.63,OTHER FIELDS
256,Organizational Behavior,Bachelors,57000.0,96600.0,0.51,OTHER FIELDS
257,Marketing,Bachelors,51700.0,96600.0,0.4,OTHER FIELDS
258,Dairy Science,Bachelors,51200.0,96200.0,0.68,OTHER FIELDS
259,Project Management,Bachelors,56800.0,96200.0,0.58,OTHER FIELDS
260,Government & International Politics (GVIP),Bachelors,51300.0,96100.0,0.49,OTHER FIELDS
